k,MMR avg
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
9,30
10,30
11,30
12,29.87
13,29.87
14,29.86
15,29.86
16,29.86
17,29.86
18,29.83
19,29.83
20,29.67
21,29.67
22,29.67
23,29.67
24,29.6
25,29.6
26,29.6
27,29.6
28,29.5
29,29.5
30,29.5
31,29.5
32,29.5
33,28.8
34,28.75
35,28.67
36,28.67
37,28.67
38,28.67
39,28.67
40,28.67
41,28.5
42,28.5
43,28.5
44,28.5
45,28.5
46,28.5
47,28.5
48,28.5
49,28.5
50,28.5
51,28.5
52,28.4
53,28.4
54,28.25
55,28
56,28
57,28
58,28
59,28
60,28
61,28
62,28
63,28
64,28
65,28
66,28
67,28
68,28
69,28
70,27.75
71,27.75
72,27.67
73,27
74,27
75,26.67
76,26.67
77,26.5
78,26.5
79,26.5
80,26.5
81,26.5
82,26.5
83,26.5
84,26.5
85,26.5
86,26.33
87,26.33
88,26.33
89,26.33
90,26.2
91,26
92,25.83
93,25.83
94,25.83
95,25.83
96,25.83
97,25.8
98,25.75
99,25.75
100,25.67
101,25.33
102,25.33
103,25
104,24.33
105,24.33
106,24.33
107,24.33
108,24.33
109,24.33
110,24.33
111,24.33
112,24.33
113,24.33
114,24.33
115,24
116,24
117,24
118,23.67
119,23.67
120,23.33
121,23.33
122,23.33
123,23.33
124,23.33
125,23.33
126,23.33
127,23.33
128,23.33
129,23.33
130,23.33
131,23.33
132,23.33
133,23
134,22.62
135,22.62
136,22.62
137,22.62
138,22.5
139,22.5
140,22.37
141,22.25
142,22.25
143,22.25
144,22.25
145,22.25
146,22.25
147,22.25
148,22.17
149,22.17
150,22.17
151,22.17
152,22
153,22
154,22
155,22
156,22
157,22
158,22
159,21
160,21
161,21
162,21
163,20.87
164,20.87
165,20.87
166,20.87
167,20.87
168,20.87
169,20.87
170,20.87
171,20.87
172,20.87
173,20.87
174,20.86
175,20.83
176,20.83
177,20.67
178,20.5
179,20.5
180,20.33
181,20
182,20
183,19.33
184,19.33
185,19.33
186,19.33
187,19.2
188,19.2
189,19.17
190,19.17
191,19.17
192,19.17
193,19
194,19
195,19
196,19
197,18.5
198,18.5
199,18.5
200,18.5
201,18.5
202,18.5
203,18.5
204,18.5
205,18.5
206,18.5
207,18
208,18
209,17.67
210,16.87
211,16.87
212,16.87
213,16.87
214,16.87
215,16.87
216,16.87
217,16.87
218,16.87
219,16.87
220,16.87
221,16.87
222,16.87
223,16.87
224,16.87
225,16.87
226,16.87
227,16.87
228,16.87
229,16.87
230,16.87
231,16.75
232,16.67
233,16.67
234,16.67
235,16.67
236,16.67
237,16.67
238,16.67
239,16.67
240,16.67
241,16.67
242,16.5
243,16.5
244,16
245,16
246,15.83
247,15.37
248,15.25
249,15.12
250,15
251,14.87
252,14.8
253,14.8
254,14.8
255,14.8
256,14.75
257,14.75
258,14.67
259,14.62
260,14.62
261,14.62
262,14.62
263,14.62
264,14.62
265,13.87
266,13.75
267,13.71
268,13.71
269,13.71
270,13.67
271,13.6
272,13.6
273,13.5
274,13.5
275,13.33
276,13.33
277,13
278,13
279,12.87
280,12.87
281,12
282,12
283,12
284,12
285,12
286,12
287,12
288,12
289,12
290,12
291,12
292,12
293,12
294,12
295,12
296,12
297,12
298,12
299,12
300,12
301,12
302,12
303,12
304,12
305,12
306,11.87
307,11.87
308,11.87
309,11.87
310,11.87
311,11.87
312,11.87
313,11.8
314,11.75
315,11.75
316,11.75
317,11.75
318,11.75
319,11.75
320,11.75
321,11.75
322,11.37
323,11.25
324,11.12
325,11
326,11
327,10.87
328,10.75
329,10.75
330,10.75
331,10.75
332,10.75
333,10.75
334,10.71
335,10.67
336,10.67
337,10.62
338,10.62
339,10.62
340,10.62
341,10.62
342,10.62
343,10.62
344,10.62
345,10.62
346,10.5
347,9.62
348,9.5
349,9.43
350,9.43
351,9.37
352,9.37
353,9.37
354,9.37
355,9.37
356,9.37
357,9.37
358,9.37
359,9.37
360,9.37
361,9.37
362,9.25
363,9.25
364,9.25
365,9.25
366,9.25
367,9.25
368,9.25
369,9.14
370,9
371,8.87
372,8.75
373,8.62
374,8.5
375,7.5
376,7.37
377,7.37
378,7.37
379,7.37
380,7.37
381,7.37
382,7.37
383,7.37
384,7.37
385,7.37
386,7.37
387,7.37
388,6.37
389,6.29
390,6.25
391,6.25
392,6.12
393,6.12
394,6.12
395,6.12
396,6.12
397,6.12
398,6.12
399,6.12
400,6.12
401,6.12
402,6.12
403,6.12
404,6.12
405,6
406,5.87
407,5.87
408,5.75
409,5.75
410,5.62
411,5.62
412,5.5
413,5.5
414,5.37
415,5.37
416,5.37
417,5.37
418,5.29
419,5.29
420,5.17
421,5
422,5
423,4.87
424,4.75
425,4.75
426,4.75
427,4.75
428,4.62
429,3.57
430,3.5
431,3.5
432,3.5
433,3.5
434,3.5
435,3.5
436,3.5
437,3.5
438,3.5
439,3.5
440,3.5
441,3.5
442,3.5
443,3.5
444,3.5
445,3.43
446,3.33
447,3.2
448,3.2
449,3
450,2.87
451,2.87
452,2.75
453,2.75
454,2.62
455,1.57
456,1.57
457,1.5
458,1.5
459,1.5
460,1.5
461,1.5
462,1.37
463,1.37
464,1.37
465,1.37
466,1.37
467,1.37
468,1.37
469,1.37
470,1.37
471,1.29
472,1.29
473,1.17
474,1.17
475,1.17
476,1.17
477,1
478,0.87
479,0.87
480,0.75
481,0.62
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
