k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,30,30,30,0,1.99,3.43,4.64,0.78
1,30,30,30,0,1.99,3.43,4.64,0.78
2,30,30,30,0,1.85,3.53,7.06,1.16
3,30,30,30,0,0,3.11,6.24,1.44
4,30,30,30,0,0,3.19,6.24,1.48
5,30,30,30,0,0,2.66,6.24,1.8
6,30,30,30,0,0,2.62,6.24,1.82
7,30,30,30,0,0,2.85,6.24,1.78
8,30,30,30,0,0,2.49,6.24,1.95
9,30,30,30,0,0,2.37,6.24,1.92
10,30,30,30,0,0,2.15,6.24,1.77
11,30,30,30,0,0,2.01,6.24,1.86
12,30,30,30,0,0,1.91,6.24,1.82
13,30,30,30,0,0,1.9,5.21,1.57
14,28.93,29.35,30,0.46,0,2.16,5.21,1.46
15,28.92,29.06,29.67,0.25,0,2.14,5.21,1.48
16,28.83,28.96,29.5,0.13,0,2.14,5.21,1.48
17,28.83,28.92,29,0.03,0,2.14,5.21,1.48
18,28.8,28.9,28.93,0.04,0,2.14,5.21,1.48
19,28.78,28.89,28.93,0.05,0,2.14,5.21,1.48
20,28.73,28.87,28.93,0.07,0,2.14,5.21,1.48
21,28.7,28.85,28.93,0.08,0,2.14,5.21,1.48
22,28.56,28.82,28.92,0.1,0,2.14,5.21,1.48
23,28.5,28.78,28.92,0.14,0,2.14,5.21,1.48
24,28.4,28.74,28.92,0.16,0,2.14,5.21,1.48
25,28.25,28.71,28.92,0.19,0,2.14,5.21,1.48
26,28,28.66,28.92,0.24,0,2.14,5.21,1.48
27,28,28.62,28.91,0.26,0,2.14,5.21,1.48
28,28,28.59,28.91,0.26,0,2.14,5.21,1.48
29,27.75,28.48,28.91,0.32,0,2.14,5.21,1.48
30,27.73,28.44,28.91,0.33,0,2.14,5.21,1.48
31,27.73,28.37,28.91,0.36,0,2.14,5.21,1.48
32,27.73,28.26,28.91,0.4,0,2.14,5.21,1.48
33,27.7,28.17,28.9,0.41,0,2.14,5.21,1.48
34,27.67,28.06,28.89,0.4,0,2.14,5.21,1.48
35,27.62,28.01,28.87,0.39,0,2.14,5.21,1.48
36,27.6,27.98,28.86,0.39,0,2.14,5.21,1.48
37,27.56,27.96,28.83,0.4,0,2.14,5.21,1.48
38,27.5,27.93,28.82,0.38,0,2.14,5.21,1.48
39,27.5,27.85,28.8,0.33,0,2.14,5.21,1.48
40,27.5,27.82,28.8,0.35,0,2.14,5.21,1.48
41,27.33,27.71,28.8,0.3,0,2.14,5.21,1.48
42,27.33,27.68,28.78,0.31,0,2.14,5.21,1.48
43,27.2,27.64,28.78,0.33,0,2.14,5.21,1.48
44,27,27.6,28.78,0.37,0,2.14,5.21,1.48
45,27,27.53,28.78,0.42,0,2.14,5.21,1.48
46,27,27.5,28.78,0.41,0,2.14,5.21,1.48
47,27,27.47,28.67,0.42,0,2.14,5.21,1.48
48,26.75,27.39,27.87,0.35,0,2.14,5.21,1.48
49,26.6,27.34,27.86,0.4,0,2.14,5.21,1.48
50,26.6,27.33,27.86,0.4,0,2.14,5.21,1.48
51,26.6,27.26,27.83,0.46,0,2.14,5.21,1.48
52,26.6,27.21,27.8,0.44,0,2.14,5.21,1.48
53,26.5,27.15,27.8,0.46,0,2.14,5.21,1.48
54,26.5,27.08,27.8,0.45,0,2.14,5.21,1.48
55,26.37,27.01,27.78,0.5,0,2.14,5.21,1.48
56,26.2,26.95,27.75,0.52,0,2.14,5.21,1.48
57,26.14,26.88,27.7,0.52,0,2.14,5.21,1.48
58,26,26.86,27.7,0.53,0,2.14,5.21,1.48
59,26,26.82,27.7,0.54,0,2.14,5.21,1.48
60,26,26.78,27.7,0.51,0,2.14,5.21,1.48
61,26,26.66,27.7,0.47,0,2.14,5.21,1.48
62,25.79,26.57,27.67,0.47,0,2.14,5.21,1.48
63,25.69,26.52,27.67,0.49,0,2.14,5.21,1.48
64,25.67,26.49,27.67,0.49,0,2.14,5.21,1.48
65,25.55,26.47,27.6,0.49,0,2.14,5.21,1.48
66,25.5,26.43,27.6,0.51,0,2.14,5.21,1.48
67,25.44,26.4,27.6,0.54,0,2.14,5.21,1.48
68,25.44,26.38,27.56,0.53,0,2.14,5.21,1.48
69,25.44,26.36,27.56,0.54,0,2.14,5.21,1.48
70,25.37,26.31,27.56,0.54,0,2.14,5.21,1.48
71,25.37,26.19,27.5,0.53,0,2.14,5.21,1.48
72,25.29,26.14,27.5,0.55,0,2.14,5.21,1.48
73,25.17,26.03,26.75,0.5,0,2.14,5.21,1.48
74,25,25.96,26.75,0.54,0,2.14,5.21,1.48
75,24.93,25.9,26.75,0.57,0,2.14,5.21,1.48
76,24.93,25.85,26.75,0.55,0,2.14,5.21,1.48
77,24.92,25.79,26.75,0.56,0,2.14,5.21,1.48
78,24.92,25.75,26.75,0.59,0,2.14,5.21,1.48
79,24.75,25.69,26.75,0.6,0,2.14,5.21,1.48
80,24.64,25.63,26.75,0.62,0,2.14,5.21,1.48
81,24.5,25.56,26.75,0.6,0,2.14,5.21,1.48
82,24.44,25.53,26.75,0.62,0,2.14,5.21,1.48
83,24.25,25.51,26.75,0.64,0,2.14,5.21,1.48
84,24.14,25.46,26.75,0.65,0,2.14,5.21,1.48
85,24,25.43,26.75,0.65,0,2.14,5.21,1.48
86,23.93,25.34,26.75,0.61,0,2.14,5.21,1.48
87,23.86,25.27,26.75,0.64,0,2.14,5.21,1.48
88,23.79,25.23,26.75,0.65,0,2.14,5.21,1.48
89,23.77,25.19,26.75,0.64,0,2.14,5.21,1.48
90,23.75,25.16,26.75,0.66,0,2.14,5.21,1.48
91,23.75,25.14,26.75,0.66,0,2.14,5.21,1.48
92,23.75,25.12,26.75,0.65,0,2.14,5.21,1.48
93,23.75,25.06,26.64,0.68,0,2.14,5.21,1.48
94,23.67,25.05,26.64,0.69,0,2.14,5.21,1.48
95,23.64,24.96,26.62,0.67,0,2.14,5.21,1.48
96,23.64,24.9,26.62,0.68,0,2.14,5.21,1.48
