k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.98,2.51,4.55,1.12
1,20,20,20,0,0.98,2.51,4.55,1.12
2,20,20,20,0,0.98,2.56,4.55,1.14
3,20,20,20,0,0,2.44,5.42,1.54
4,20,20,20,0,0,2.6,6.07,1.75
5,20,20,20,0,0,2.52,6.15,2.04
6,20,20,20,0,0,2.53,6.15,1.94
7,20,20,20,0,0,2.48,6.07,1.75
8,20,20,20,0,0,2.48,6.07,1.75
9,18.89,19.36,20,0.47,0,2.7,6.07,1.63
10,18.87,19.01,19.5,0.22,0,2.71,6.07,1.64
11,18.86,18.9,19,0.04,0,2.42,5.42,1.56
12,18.83,18.88,18.89,0.02,0,2.42,5.42,1.56
13,18.6,18.83,18.89,0.08,0,2.42,5.42,1.56
14,18.5,18.82,18.89,0.11,0,2.42,5.42,1.56
15,18.25,18.76,18.89,0.18,0,2.42,5.42,1.56
16,18,18.73,18.87,0.22,0,2.42,5.42,1.56
17,18,18.67,18.87,0.28,0,2.42,5.42,1.56
18,18,18.62,18.87,0.3,0,2.42,5.42,1.56
19,17.89,18.53,18.87,0.35,0,2.42,5.42,1.56
20,17.75,18.44,18.87,0.37,0,2.42,5.42,1.56
21,17.75,18.39,18.87,0.41,0,2.42,5.42,1.56
22,17.57,18.25,18.87,0.45,0,2.22,5.42,1.61
23,17.5,18.15,18.87,0.44,0,2.13,5.42,1.67
24,17.4,18.08,18.86,0.42,0,2.33,5.42,1.63
25,17.25,17.95,18.86,0.43,0,2.33,5.42,1.63
26,17,17.88,18.83,0.45,0,2.33,5.42,1.63
27,17,17.77,18.83,0.45,0,2.33,5.42,1.63
28,16.89,17.68,18.67,0.41,0,2.33,5.42,1.63
29,16.89,17.64,18.6,0.39,0,2.32,5.42,1.62
30,16.87,17.56,18.6,0.41,0,2.32,5.42,1.62
31,16.57,17.46,18.4,0.38,0,2.32,5.42,1.62
32,16.33,17.42,18.4,0.43,0,2.32,5.42,1.62
33,16.2,17.34,18.4,0.51,0,2.32,5.42,1.62
