k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,146,146,146,0,4.21,6.05,9.37,1.46
1,146,146,146,0,4.21,6.05,9.37,1.46
2,146,146,146,0,0.89,6.19,10.98,2.22
3,146,146,146,0,0,5.32,14.72,3.41
4,146,146,146,0,0.74,6.15,14.72,3.88
5,146,146,146,0,0,5.29,14.72,4.14
6,146,146,146,0,0.74,5.1,14.72,3.79
7,146,146,146,0,0,5.04,14.72,3.97
8,144.87,145.22,146,0.38,0,5.04,14.72,3.97
9,144.86,144.97,145.5,0.19,0,4.64,14.72,3.9
10,144.67,144.85,145,0.08,0.89,5.23,14.72,3.58
11,144.6,144.81,144.87,0.09,0.89,5.23,14.72,3.58
12,144.25,144.74,144.87,0.17,0.89,5.23,14.72,3.58
13,144,144.67,144.86,0.26,0.89,5.23,14.72,3.58
14,144,144.59,144.83,0.27,0.89,5.23,14.72,3.58
15,144,144.47,144.83,0.32,0.89,5.23,14.72,3.58
16,143.87,144.38,144.83,0.32,0.89,5.23,14.72,3.58
17,143.71,144.29,144.83,0.4,0.89,5.23,14.72,3.58
18,143.67,144.21,144.83,0.43,0.89,5.23,14.72,3.58
19,143.6,144.16,144.83,0.46,0.89,5.23,14.72,3.58
20,143.5,144.11,144.83,0.46,0.89,5.23,14.72,3.58
21,143.5,144.05,144.83,0.49,0.89,5.23,14.72,3.58
22,143.25,144.01,144.83,0.51,0.89,5.23,14.72,3.58
23,143,143.91,144.8,0.53,0.89,5.04,14.72,3.6
24,142.87,143.83,144.67,0.59,0.89,5.04,14.72,3.6
25,142.75,143.74,144.6,0.61,0.89,4.92,14.72,3.61
26,142.75,143.63,144.6,0.59,0.89,5.33,14.72,4.08
27,142.75,143.5,144.6,0.59,1.3,5.72,14.72,3.94
28,142.4,143.38,144.6,0.59,1.3,5.66,14.72,3.96
29,142.33,143.28,144.5,0.51,1.3,5.25,14.72,3.52
30,142.25,143.11,144.5,0.61,1.3,5.66,14.72,3.96
31,142,142.99,144,0.61,1.3,5.25,14.72,3.52
32,141.87,142.89,144,0.63,1.3,5.25,14.72,3.52
33,141.62,142.74,143.8,0.64,1.3,5.66,14.72,3.96
34,141.62,142.7,143.75,0.62,1.3,5.45,14.72,3.64
35,141.62,142.64,143.75,0.62,1.3,5.66,14.72,3.96
36,141.5,142.44,143.75,0.57,1.3,5.66,14.72,3.96
37,141.2,142.36,143.75,0.63,1.3,5.66,14.72,3.96
38,141,142.18,143.75,0.67,1.3,5.66,14.72,3.96
39,140.87,142.11,143.75,0.7,1.3,5.66,14.72,3.96
40,140.71,142.06,143.75,0.71,1.3,5.66,14.72,3.96
41,140.71,141.99,143.75,0.75,1.3,5.66,14.72,3.96
42,140.71,141.89,143.75,0.71,1.3,5.66,14.72,3.96
43,140.71,141.77,143.75,0.77,1.3,5.66,14.72,3.96
44,140.5,141.61,143.75,0.76,1.3,5.66,14.72,3.96
45,140.5,141.53,143.75,0.76,1.3,5.66,14.72,3.96
46,140.43,141.46,143.75,0.77,1.3,5.66,14.72,3.96
47,140.17,141.34,143.75,0.82,1.3,5.66,14.72,3.96
48,140,141.18,143.5,0.82,1.3,5.66,14.72,3.96
49,139.71,141.07,143.5,0.88,1.3,5.66,14.72,3.96
50,139.71,141.02,143.5,0.89,1.3,5.66,14.72,3.96
51,139.67,140.88,143.5,0.9,1.3,5.66,14.72,3.96
52,139.5,140.74,143,0.87,0,5.56,14.72,4.08
53,139.4,140.65,143,0.91,0,5.56,14.72,4.08
54,139.33,140.58,143,0.91,0,5.56,14.72,4.08
55,138.71,140.46,143,0.94,0,5.56,14.72,4.08
56,138.57,140.36,143,0.98,0,5.56,14.72,4.08
57,138.57,140.28,143,0.97,0,5.56,14.72,4.08
58,138.57,140.25,143,0.98,0,5.56,14.72,4.08
59,138.57,140.16,143,0.93,0,5.56,14.72,4.08
60,138.57,140.09,142.83,0.94,1.3,5.66,14.72,3.96
61,138.5,140,142.83,0.96,1.3,5.66,14.72,3.96
62,138.43,139.93,142.83,0.98,1.3,5.66,14.72,3.96
63,138.17,139.77,142.8,1.04,1.3,6.08,14.72,4
64,138,139.59,142,0.98,0,5.56,14.72,4.08
65,138,139.45,141,0.9,0,5.56,14.72,4.08
66,138,139.32,141,0.95,0,5.56,14.72,4.08
67,137.83,139.18,141,0.99,0,5.56,14.72,4.08
68,137.83,139.11,141,0.96,0,5.56,14.72,4.08
69,137.4,139.02,141,1,0,5.56,14.72,4.08
70,137.2,138.96,141,0.97,0,5.56,14.72,4.08
71,137.2,138.92,141,0.99,0,5.56,14.72,4.08
72,137,138.77,141,1.09,0,5.56,14.72,4.08
73,137,138.73,141,1.1,0,5.56,14.72,4.08
74,136.87,138.57,141,1.1,0,5.56,14.72,4.08
75,136.75,138.47,141,1.14,0,5.56,14.72,4.08
76,136.75,138.38,141,1.17,0,5.56,14.72,4.08
77,136.67,138.22,140.17,1.05,0,5.56,14.72,4.08
78,136.6,138.14,140,1.09,0,5.56,14.72,4.08
79,136.37,138.06,140,1.15,0,5.56,14.72,4.08
80,136.2,137.98,140,1.16,0,5.56,14.72,4.08
81,136,137.85,140,1.14,0,5.56,14.72,4.08
82,136,137.78,140,1.15,0,5.56,14.72,4.08
83,136,137.7,140,1.15,0,5.56,14.72,4.08
84,136,137.63,140,1.14,0,5.56,14.72,4.08
85,135.87,137.52,139.5,1.04,0,5.56,14.72,4.08
86,135.62,137.44,139.5,1.06,0,5.56,14.72,4.08
87,135.5,137.36,139.5,1.09,0,5.56,14.72,4.08
88,135.2,137.23,139,1.05,0,5.56,14.72,4.08
89,135.2,137.17,139,1.06,0,5.56,14.72,4.08
90,135,137.1,139,1.08,0,5.56,14.72,4.08
91,134.87,137.04,139,1.11,0,5.56,14.72,4.08
92,134.75,136.86,139,1.14,0,5.56,14.72,4.08
93,134.75,136.77,139,1.18,0,5.56,14.72,4.08
94,134.71,136.71,139,1.19,0,5.56,14.72,4.08
95,134.71,136.7,139,1.2,0,5.56,14.72,4.08
96,134.5,136.6,139,1.25,0,5.56,14.72,4.08
97,134.33,136.49,138.67,1.24,0,5.56,14.72,4.08
98,134,136.41,138.67,1.3,0,5.56,14.72,4.08
99,133.75,136.27,138.5,1.37,0,5.56,14.72,4.08
100,133.62,136.09,138.33,1.28,0,5.56,14.72,4.08
101,133.57,135.95,138,1.25,0,5.56,14.72,4.08
102,133.5,135.92,138,1.26,0,5.56,14.72,4.08
103,133.5,135.88,138,1.24,0,5.56,14.72,4.08
104,133.2,135.76,138,1.24,0,5.56,14.72,4.08
105,133,135.69,138,1.24,0,5.56,14.72,4.08
106,133,135.58,138,1.3,0,5.56,14.72,4.08
107,132.43,135.46,137.67,1.29,0,5.56,14.72,4.08
108,132.33,135.37,137.67,1.3,0,5.56,14.72,4.08
109,132.2,135.28,137.33,1.31,0,5.56,14.72,4.08
110,132,135.11,137.33,1.34,0,5.56,14.72,4.08
111,132,135.06,137.33,1.33,0,5.56,14.72,4.08
112,131.75,135.02,137,1.34,0,5.56,14.72,4.08
113,131.67,134.98,137,1.33,0,5.56,14.72,4.08
114,131.67,134.85,137,1.28,0,5.56,14.72,4.08
115,131.67,134.74,136.67,1.21,0,5.56,14.72,4.08
116,131.5,134.58,136.67,1.25,0,5.56,14.72,4.08
117,131.29,134.48,136.67,1.27,0,5.56,14.72,4.08
118,131.29,134.39,136.5,1.29,0,5.56,14.72,4.08
119,131.29,134.34,136.33,1.29,0,5.56,14.72,4.08
120,131.29,134.26,136,1.3,0,5.56,14.72,4.08
121,131.29,134.16,136,1.27,0,5.56,14.72,4.08
122,131.29,134.08,136,1.24,0,5.56,14.72,4.08
123,131.29,133.99,136,1.23,0,5.56,14.72,4.08
124,131.29,133.95,136,1.25,0,5.56,14.72,4.08
125,131.29,133.85,136,1.24,0,5.56,14.72,4.08
126,131.29,133.7,135.33,1.14,0,5.56,14.72,4.08
127,131.29,133.64,135.33,1.17,0,5.56,14.72,4.08
128,131.29,133.48,135,1.17,0,5.56,14.72,4.08
129,131.29,133.43,135,1.17,0,5.56,14.72,4.08
130,131.29,133.41,135,1.18,0,5.56,14.72,4.08
131,131.29,133.27,135,1.14,0,5.56,14.72,4.08
132,131.29,133.21,135,1.14,0,5.56,14.72,4.08
133,131.29,133.15,135,1.18,0,5.56,14.72,4.08
134,131.29,133.05,135,1.12,0,5.56,14.72,4.08
135,131.14,132.98,135,1.14,0,5.56,14.72,4.08
136,131,132.84,135,1.12,0,5.56,14.72,4.08
137,131,132.68,134.33,1.08,0,5.56,14.72,4.08
138,130.86,132.63,134.33,1.11,0,5.56,14.72,4.08
139,130.83,132.55,134.33,1.07,0,5.56,14.72,4.08
140,130.67,132.4,134.33,1.13,0,5.56,14.72,4.08
141,130.5,132.32,134.33,1.18,0,5.56,14.72,4.08
142,130.33,132.21,134,1.15,0,5.56,14.72,4.08
143,130.17,132.13,134,1.2,0,5.56,14.72,4.08
144,130,132.07,134,1.2,0,5.56,14.72,4.08
145,129.8,131.95,134,1.14,0,5.56,14.72,4.08
146,129.6,131.91,134,1.19,0,5.56,14.72,4.08
147,129.57,131.81,134,1.2,0,5.56,14.72,4.08
148,129.5,131.59,134,1.23,0,5.56,14.72,4.08
149,129.2,131.45,134,1.27,0,5.56,14.72,4.08
150,128.87,131.4,134,1.32,0,5.56,14.72,4.08
151,128.62,131.34,134,1.35,0,5.56,14.72,4.08
152,128.5,131.2,133.33,1.28,0,5.56,14.72,4.08
153,128.37,131.09,133,1.31,0,5.56,14.72,4.08
154,128.37,130.99,133,1.3,0,5.56,14.72,4.08
155,128.37,130.88,133,1.26,0,5.56,14.72,4.08
156,128.29,130.76,133,1.24,0,5.56,14.72,4.08
157,128.17,130.65,133,1.25,0,5.56,14.72,4.08
158,128,130.57,133,1.27,0,5.56,14.72,4.08
159,127.57,130.43,133,1.34,0,5.56,14.72,4.08
160,127.5,130.29,133,1.36,0,5.56,14.72,4.08
161,127.33,130.22,133,1.36,0,5.56,14.72,4.08
162,127.14,130.09,132.5,1.33,0,5.56,14.72,4.08
163,127.14,130.03,132.5,1.37,0,5.56,14.72,4.08
164,127,130,132.5,1.4,0,5.56,14.72,4.08
165,127,129.93,132.5,1.45,0,5.56,14.72,4.08
166,127,129.84,132.5,1.49,0,5.56,14.72,4.08
167,126.75,129.66,132.5,1.44,0,5.56,14.72,4.08
168,126.75,129.6,132.5,1.48,0,5.56,14.72,4.08
169,126.67,129.55,132.5,1.49,0,5.56,14.72,4.08
170,126.67,129.46,132.5,1.51,0,5.56,14.72,4.08
171,126.57,129.33,132.5,1.49,0,5.56,14.72,4.08
172,126.57,129.19,132,1.47,0,5.56,14.72,4.08
173,126.5,129.1,132,1.53,0,5.56,14.72,4.08
174,126,129,132,1.59,0,5.56,14.72,4.08
175,125.87,128.87,132,1.53,0,5.56,14.72,4.08
176,125.75,128.8,132,1.56,0,5.56,14.72,4.08
177,125.62,128.62,132,1.55,0,5.56,14.72,4.08
178,125.5,128.52,132,1.59,0,5.56,14.72,4.08
179,125.5,128.34,131.5,1.53,0,5.56,14.72,4.08
180,125.43,128.27,131.5,1.55,0,5.56,14.72,4.08
181,125.33,128.14,131.2,1.53,0,5.56,14.72,4.08
182,125,128.01,131,1.56,0,5.56,14.72,4.08
183,124.87,127.95,131,1.59,0,5.56,14.72,4.08
184,124.75,127.83,131,1.51,0,5.56,14.72,4.08
185,124.62,127.69,131,1.57,0,5.56,14.72,4.08
186,124.5,127.54,131,1.53,0,5.56,14.72,4.08
187,124.5,127.48,131,1.51,0,5.56,14.72,4.08
188,124.5,127.38,131,1.52,0,5.56,14.72,4.08
189,124.33,127.3,131,1.54,0,5.56,14.72,4.08
190,124.17,127.2,131,1.56,0,5.56,14.72,4.08
191,124,127.14,131,1.59,0,5.56,14.72,4.08
192,123.87,127.12,131,1.62,0,5.56,14.72,4.08
193,123.5,127.03,131,1.66,0,5.56,14.72,4.08
194,123.37,126.91,131,1.62,0,5.56,14.72,4.08
195,123.25,126.83,131,1.67,0,5.56,14.72,4.08
196,123.14,126.69,130.5,1.67,0,5.56,14.72,4.08
197,123,126.56,130.2,1.68,0,5.56,14.72,4.08
198,123,126.49,130.2,1.72,0,5.56,14.72,4.08
199,122.87,126.41,130.2,1.75,0,5.56,14.72,4.08
200,122.75,126.32,130,1.75,0,5.56,14.72,4.08
201,122.62,126.15,130,1.79,0,5.56,14.72,4.08
202,122.25,126.02,130,1.88,0,5.56,14.72,4.08
203,122.25,125.94,130,1.89,0,5.56,14.72,4.08
204,122.14,125.84,130,1.89,0,5.56,14.72,4.08
205,122.14,125.78,130,1.89,0,5.56,14.72,4.08
206,122.14,125.69,130,1.82,0,5.56,14.72,4.08
207,122,125.58,130,1.86,0,5.56,14.72,4.08
208,121.75,125.53,130,1.9,0,5.56,14.72,4.08
209,121.5,125.38,130,1.96,0,5.56,14.72,4.08
210,121.5,125.33,130,1.99,0,5.56,14.72,4.08
211,121.43,125.29,130,2,0,5.56,14.72,4.08
212,121.29,125.2,129.5,2,0,5.56,14.72,4.08
213,121.29,125.12,129.5,2.04,0,5.56,14.72,4.08
214,121.29,125.04,129.5,2.08,0,5.56,14.72,4.08
215,121.29,124.93,129.5,2,0,5.56,14.72,4.08
216,121.29,124.83,129,1.98,0,5.56,14.72,4.08
217,121.29,124.72,129,1.92,0,5.56,14.72,4.08
218,121.17,124.61,129,1.94,0,5.56,14.72,4.08
219,121,124.52,129,2,0,5.56,14.72,4.08
220,121,124.49,129,1.98,0,5.56,14.72,4.08
221,120.57,124.44,129,2.04,0,5.56,14.72,4.08
222,120.33,124.31,129,2.03,0,5.56,14.72,4.08
223,120.14,124.26,129,2.05,0,5.56,14.72,4.08
224,120,124.17,129,2.1,0,5.56,14.72,4.08
225,120,124.06,128.5,2.08,0,5.56,14.72,4.08
226,120,123.9,128,2.12,0,5.56,14.72,4.08
227,119.75,123.82,128,2.05,0,5.56,14.72,4.08
228,119.75,123.7,128,2.02,0,5.56,14.72,4.08
229,119.75,123.6,127.5,1.97,0,5.56,14.72,4.08
230,119.75,123.55,127.5,1.95,0,5.56,14.72,4.08
231,119.75,123.48,127.5,1.95,0,5.56,14.72,4.08
232,119.67,123.41,127.5,1.96,0,5.56,14.72,4.08
233,119.67,123.36,127.5,1.98,0,5.56,14.72,4.08
234,119.67,123.28,127.5,2.03,0,5.56,14.72,4.08
235,119.67,123.12,127.5,2.05,0,5.56,14.72,4.08
236,119.67,123.07,127.5,2.04,0,5.56,14.72,4.08
237,119.43,123,127,2.01,0,5.56,14.72,4.08
238,119.29,122.87,126.5,1.84,0,5.56,14.72,4.08
239,119,122.77,126.5,1.81,0,5.56,14.72,4.08
240,119,122.68,126.5,1.8,0,5.56,14.72,4.08
241,119,122.57,126.5,1.83,0,5.56,14.72,4.08
242,118.86,122.52,126.5,1.87,0,5.56,14.72,4.08
243,118.86,122.43,126.5,1.87,0,5.56,14.72,4.08
244,118.57,122.35,126.5,1.93,0,5.56,14.72,4.08
245,118.5,122.29,126.5,1.94,0,5.56,14.72,4.08
246,118.4,122.18,126.5,1.98,0,5.56,14.72,4.08
247,118.29,122.12,126.5,2.01,0,5.56,14.72,4.08
248,118.2,122.04,126.5,2.07,0,5.56,14.72,4.08
249,118.17,121.93,126.5,2.07,0,5.56,14.72,4.08
250,118,121.84,126.5,2.13,0,5.56,14.72,4.08
251,117.75,121.79,126.5,2.17,0,5.56,14.72,4.08
252,117.62,121.69,126,2.13,0,5.56,14.72,4.08
253,117.37,121.55,125.5,2.1,0,5.56,14.72,4.08
254,117.37,121.43,125.5,2.08,0,5.56,14.72,4.08
255,117.37,121.3,125.5,2.02,0,5.56,14.72,4.08
256,117.29,121.2,125.5,2.04,0,5.56,14.72,4.08
257,117.29,121.12,125.5,2.06,0,5.56,14.72,4.08
258,117.17,121.05,125.5,2.08,0,5.56,14.72,4.08
259,117,120.97,125.5,2.13,0,5.56,14.72,4.08
260,116.87,120.92,125.5,2.15,0,5.56,14.72,4.08
261,116.87,120.88,125.5,2.13,0,5.56,14.72,4.08
262,116.87,120.84,125.5,2.13,0,5.56,14.72,4.08
263,116.87,120.72,125.5,2.11,0,5.56,14.72,4.08
264,116.87,120.59,125.5,2.12,0,5.56,14.72,4.08
265,116.71,120.51,125.5,2.15,0,5.56,14.72,4.08
266,116.57,120.46,125,2.11,0,5.56,14.72,4.08
267,116.43,120.33,124.5,2.02,0,5.56,14.72,4.08
268,116.14,120.25,124.5,2.07,0,5.56,14.72,4.08
269,116,120.03,124.5,2.06,0,5.56,14.72,4.08
270,115.87,119.97,124.5,2.1,0,5.56,14.72,4.08
271,115.67,119.85,124.5,2.01,0,5.56,14.72,4.08
272,115.67,119.81,124.5,2.01,0,5.56,14.72,4.08
273,115.67,119.8,124.5,2.01,0,5.56,14.72,4.08
274,115.67,119.72,124.5,2.04,0,5.56,14.72,4.08
275,115.5,119.61,124,2.02,0,5.56,14.72,4.08
276,115.29,119.5,124,2.06,0,5.56,14.72,4.08
277,115.14,119.45,124,2.08,0,5.56,14.72,4.08
278,115,119.36,124,2.12,0,5.56,14.72,4.08
279,115,119.2,123,1.99,0,5.56,14.72,4.08
280,114.75,119.14,123,2.03,0,5.56,14.72,4.08
281,114.5,119.05,123,2.07,0,5.56,14.72,4.08
282,114.25,118.84,123,2.05,0,5.56,14.72,4.08
283,114.25,118.7,123,2.07,0,5.56,14.72,4.08
284,114.14,118.58,123,2.08,0,5.56,14.72,4.08
285,114.14,118.5,123,2.11,0,5.56,14.72,4.08
286,114,118.43,122.5,2.09,0,5.56,14.72,4.08
287,114,118.35,122.5,2.11,0,5.56,14.72,4.08
288,114,118.27,122.5,2.12,0,5.56,14.72,4.08
289,113.75,118.24,122.5,2.16,0,5.56,14.72,4.08
290,113.62,118.18,122.5,2.22,0,5.56,14.72,4.08
291,113.5,118.07,122,2.22,0,5.56,14.72,4.08
292,113.5,117.98,122,2.26,0,5.56,14.72,4.08
293,113,117.82,122,2.27,0,5.56,14.72,4.08
294,113,117.74,122,2.3,0,5.56,14.72,4.08
295,112.87,117.64,121.5,2.31,0,5.56,14.72,4.08
296,112.75,117.49,121.5,2.33,0,5.56,14.72,4.08
297,112.62,117.42,121.5,2.3,0,5.56,14.72,4.08
298,112.62,117.34,121.5,2.32,0,5.56,14.72,4.08
299,112.62,117.19,121,2.21,0,5.56,14.72,4.08
300,112.57,117.11,121,2.23,0,5.56,14.72,4.08
301,112.17,117.06,121,2.3,0,5.56,14.72,4.08
302,112,116.99,121,2.37,0,5.56,14.72,4.08
303,111.87,116.97,121,2.38,0,5.56,14.72,4.08
304,111.62,116.83,121,2.29,0,5.56,14.72,4.08
305,111.37,116.69,121,2.35,0,5.56,14.72,4.08
306,111.37,116.63,121,2.38,0,5.56,14.72,4.08
307,111.37,116.58,121,2.41,0,5.56,14.72,4.08
308,111.37,116.54,121,2.43,0,5.56,14.72,4.08
309,111.37,116.4,121,2.37,0,5.56,14.72,4.08
310,111.37,116.32,121,2.34,0,5.56,14.72,4.08
311,111.29,116.23,120.5,2.3,0,5.56,14.72,4.08
312,111.17,116.16,120.5,2.36,0,5.56,14.72,4.08
313,111.17,116.09,120.5,2.41,0,5.56,14.72,4.08
314,111.17,115.96,120,2.34,0,5.56,14.72,4.08
315,111.17,115.87,120,2.35,0,5.56,14.72,4.08
316,111,115.79,120,2.38,0,5.56,14.72,4.08
317,111,115.69,120,2.42,0,5.56,14.72,4.08
318,111,115.58,120,2.29,0,5.56,14.72,4.08
