k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,9,9,9,0,0.79,1.42,2.1,0.37
1,9,9,9,0,0.79,1.42,2.1,0.37
2,9,9,9,0,0.63,1.39,2.57,0.48
3,9,9,9,0,0.25,1.21,1.9,0.44
4,9,9,9,0,0.25,1.25,2.26,0.54
5,9,9,9,0,0.2,1.05,2.12,0.59
6,9,9,9,0,0,0.94,2.12,0.59
7,9,9,9,0,0,0.88,2.12,0.67
8,9,9,9,0,0,0.64,2.12,0.59
9,9,9,9,0,0,0.69,2.43,0.69
10,9,9,9,0,0,0.69,2.43,0.69
11,9,9,9,0,0,0.76,2.43,0.71
12,9,9,9,0,0,0.76,2.43,0.71
13,7.92,8.15,9,0.35,0,0.83,2.44,0.69
14,7.92,7.99,8.5,0.18,0,0.83,2.44,0.69
15,7.91,7.93,8,0.03,0,0.9,2.44,0.67
16,7.82,7.91,7.92,0.03,0,0.9,2.44,0.67
17,7.8,7.9,7.92,0.03,0,0.9,2.44,0.67
18,7.78,7.89,7.92,0.04,0,0.9,2.44,0.67
19,7.75,7.88,7.92,0.04,0,0.9,2.44,0.67
20,7.71,7.87,7.92,0.05,0,0.9,2.44,0.67
21,7.5,7.85,7.92,0.09,0,0.9,2.44,0.67
22,7.5,7.83,7.92,0.09,0,0.9,2.44,0.67
23,7.5,7.82,7.92,0.1,0,0.9,2.44,0.67
24,7.4,7.79,7.92,0.13,0,0.9,2.44,0.67
25,7.4,7.75,7.92,0.14,0,0.9,2.44,0.67
26,7,7.66,7.92,0.26,0,0.9,2.44,0.67
27,6.82,7.6,7.92,0.32,0,0.9,2.44,0.67
28,6.8,7.57,7.92,0.35,0,0.9,2.44,0.67
29,6.78,7.48,7.91,0.41,0,0.9,2.44,0.67
30,6.75,7.4,7.9,0.44,0,0.9,2.44,0.67
31,6.71,7.35,7.89,0.48,0,0.9,2.44,0.67
32,6.71,7.27,7.89,0.48,0,0.9,2.44,0.67
33,6.67,7.21,7.89,0.49,0,0.9,2.44,0.67
34,6.6,7.2,7.89,0.51,0,0.9,2.44,0.67
35,6.5,7.14,7.89,0.53,0,0.9,2.44,0.67
36,6.4,7.11,7.86,0.54,0,0.9,2.44,0.67
37,6.25,7.08,7.86,0.54,0,0.9,2.44,0.67
38,6,7.03,7.86,0.54,0,0.9,2.44,0.67
39,6,7.02,7.86,0.54,0,0.9,2.44,0.67
40,6,6.97,7.78,0.54,0,0.9,2.44,0.67
41,5.83,6.93,7.78,0.53,0,0.83,2.44,0.69
42,5.73,6.81,7.78,0.52,0,0.83,2.44,0.69
43,5.7,6.75,7.67,0.49,0,0.83,2.44,0.69
44,5.62,6.68,7.67,0.52,0,0.83,2.44,0.69
45,5.6,6.61,7.67,0.53,0,0.83,2.44,0.69
46,5.57,6.57,7.57,0.51,0,0.83,2.44,0.69
47,5.5,6.55,7.57,0.52,0,0.83,2.44,0.69
48,5.5,6.49,7.43,0.46,0,0.83,2.44,0.69
49,5.33,6.43,7.29,0.49,0,0.83,2.44,0.69
