k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.98,2.51,4.55,1.12
1,20,20,20,0,0.98,2.51,4.55,1.12
2,20,20,20,0,0.98,2.48,4.55,1.14
3,20,20,20,0,0,2.24,5.52,1.29
4,20,20,20,0,0,2.15,5.52,1.56
5,20,20,20,0,0,2.25,6.15,1.87
6,20,20,20,0,0,2.1,6.15,1.69
7,20,20,20,0,0,2.3,6.15,1.66
8,20,20,20,0,0,2.82,6.52,1.84
9,18.89,19.29,20,0.43,0,2.59,6.52,1.76
10,18.87,19.05,19.89,0.3,0,2.5,6.52,1.76
11,18.75,18.89,19,0.07,0,2.65,6.52,1.67
12,18.57,18.85,18.89,0.07,0,2.65,6.52,1.67
13,18.57,18.83,18.89,0.08,0,2.65,6.52,1.67
14,18.5,18.8,18.89,0.1,0,2.65,6.52,1.67
15,18.5,18.75,18.89,0.14,0,2.65,6.52,1.67
16,18.33,18.71,18.89,0.17,0,2.65,6.52,1.67
17,18,18.64,18.89,0.26,0,2.65,6.52,1.67
18,17.89,18.58,18.87,0.3,0,2.65,6.52,1.67
19,17.89,18.52,18.87,0.33,0,2.65,6.52,1.67
20,17.71,18.44,18.87,0.41,0,2.65,6.52,1.67
21,17.67,18.43,18.87,0.43,0,2.65,6.52,1.67
22,17.6,18.35,18.87,0.44,0,2.65,6.52,1.67
23,17.5,18.3,18.87,0.46,0,2.65,6.52,1.67
24,17.5,18.19,18.87,0.47,0,2.65,6.52,1.67
25,17,18.02,18.87,0.51,0,2.65,6.52,1.67
26,17,17.95,18.75,0.55,0,2.65,6.52,1.67
27,17,17.92,18.75,0.54,0,2.65,6.52,1.67
28,17,17.84,18.71,0.53,0,2.65,6.52,1.67
29,16.78,17.76,18.67,0.52,0,2.65,6.52,1.67
30,16.62,17.67,18.67,0.5,0,2.65,6.52,1.67
31,16.62,17.63,18.67,0.53,0,2.65,6.52,1.67
32,16.57,17.55,18.67,0.5,0,2.65,6.52,1.67
33,16.5,17.46,18.5,0.53,0,2.65,6.52,1.67
