k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.98,2.51,4.55,1.12
1,20,20,20,0,0.98,2.51,4.55,1.12
2,20,20,20,0,0.98,2.51,4.55,1.12
3,20,20,20,0,0.98,2.51,4.55,1.12
4,20,20,20,0,0.98,2.51,4.55,1.12
5,20,20,20,0,0.98,2.51,4.55,1.12
6,20,20,20,0,0.98,2.51,4.55,1.12
7,20,20,20,0,0.98,2.51,4.55,1.12
8,20,20,20,0,0.98,2.51,4.55,1.12
9,20,20,20,0,0.98,2.51,4.55,1.12
10,20,20,20,0,0.98,2.51,4.55,1.12
11,20,20,20,0,0.98,2.51,4.55,1.12
12,20,20,20,0,0.98,2.51,4.55,1.12
13,20,20,20,0,0.98,2.51,4.55,1.12
14,20,20,20,0,0.98,2.51,4.55,1.12
15,20,20,20,0,0.98,2.51,4.55,1.12
16,20,20,20,0,0,2.52,6.95,1.78
17,20,20,20,0,0,2.25,6.95,1.69
18,20,20,20,0,0,2.08,6.95,1.59
19,20,20,20,0,0.5,2.36,5.11,1.36
20,20,20,20,0,0,2.17,5.29,1.59
21,19.99,20,20,0,0,1.91,4.54,1.44
22,19.94,19.98,20,0.02,0,1.91,4.54,1.44
23,19.54,19.85,20,0.1,0,1.99,4.54,1.37
24,18.88,18.95,19.98,0.25,0,2.13,5.33,1.57
25,18.85,18.87,18.95,0.02,0,2.13,5.33,1.57
26,18.69,18.82,18.89,0.07,0,2.13,5.33,1.57
27,18.64,18.81,18.89,0.08,0,2.13,5.33,1.57
28,18.57,18.8,18.89,0.09,0,2.13,5.33,1.57
29,18.57,18.75,18.87,0.11,0,2.13,5.33,1.57
30,18.38,18.71,18.86,0.16,0,2.13,5.33,1.57
31,18.24,18.65,18.86,0.2,0,2.13,5.33,1.57
32,17.93,18.54,18.85,0.32,0,2.13,5.33,1.57
33,17.74,18.45,18.85,0.36,0,2.13,5.33,1.57
34,17.69,18.38,18.85,0.39,0,2.13,5.33,1.57
35,17.63,18.27,18.85,0.44,0,2.13,5.33,1.57
