k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.98,2.51,4.55,1.12
1,20,20,20,0,0.98,2.51,4.55,1.12
2,20,20,20,0,0.98,2.72,6.15,1.35
3,20,20,20,0,0,2.39,6.15,1.69
4,20,20,20,0,0,2.65,6.13,1.95
5,20,20,20,0,0,2.5,6.13,1.82
6,20,20,20,0,0,2.65,6.13,1.72
7,20,20,20,0,0,2.14,5.48,1.66
8,20,20,20,0,0,1.67,4.79,1.36
9,18.89,19.42,20,0.46,0,1.88,5.11,1.54
10,18.87,19.04,19.5,0.24,0,1.75,5.11,1.6
11,18.71,18.89,19,0.07,0,1.81,5.11,1.6
12,18.71,18.85,18.89,0.06,0,1.81,5.11,1.6
13,18.67,18.83,18.89,0.07,0,1.81,5.11,1.6
14,18.5,18.8,18.89,0.11,0,1.81,5.11,1.6
15,18.4,18.77,18.89,0.13,0,1.81,5.11,1.6
16,18,18.7,18.89,0.23,0,1.81,5.11,1.6
17,18,18.65,18.89,0.27,0,1.81,5.11,1.6
18,18,18.53,18.89,0.32,0,1.81,5.11,1.6
19,17.75,18.42,18.87,0.39,0,1.81,5.11,1.6
20,17.67,18.29,18.87,0.45,0,1.81,5.11,1.6
21,17.5,18.21,18.87,0.49,0,1.81,5.11,1.6
22,17.4,18.13,18.83,0.5,0,1.81,5.11,1.6
23,17,18.06,18.83,0.54,0,1.81,5.11,1.6
24,17,17.99,18.83,0.55,0,1.81,5.11,1.6
25,17,17.92,18.83,0.54,0,1.81,5.11,1.6
26,17,17.83,18.83,0.58,0,1.81,5.11,1.6
27,16.89,17.73,18.83,0.57,0,1.81,5.11,1.6
28,16.87,17.67,18.67,0.57,0,1.73,5.11,1.47
29,16.62,17.57,18.6,0.54,0,1.81,5.11,1.6
30,16.5,17.39,18.4,0.5,0,1.81,5.11,1.6
31,16.25,17.27,18.2,0.52,0,1.81,5.11,1.6
32,16.25,17.22,18.2,0.53,0,1.81,5.11,1.6
33,16.25,17.13,18.2,0.59,0,1.81,5.11,1.6
