k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.98,2.51,4.55,1.12
1,20,20,20,0,0.98,2.51,4.55,1.12
2,20,20,20,0,0.67,2.38,4.55,1.29
3,20,20,20,0,0,2.76,6.52,1.6
4,20,20,20,0,0,2.39,6.13,1.58
5,20,20,20,0,0,2.24,6.13,1.83
6,20,20,20,0,0,1.63,5.11,1.56
7,20,20,20,0,0,1.71,5.11,1.53
8,20,20,20,0,0,1.76,5.11,1.53
9,18.89,19.28,20,0.46,0,1.5,4.14,1.38
10,18.87,18.98,19.67,0.21,0,1.51,4.14,1.39
11,18.71,18.91,19.5,0.15,0,1.77,4.14,1.44
12,18.67,18.86,19,0.07,0,1.97,4.83,1.57
13,18.6,18.81,18.89,0.09,0,1.97,4.83,1.57
14,18.6,18.79,18.89,0.11,0,1.97,4.83,1.57
15,18.5,18.76,18.89,0.13,0,1.97,4.83,1.57
16,18,18.67,18.89,0.24,0,1.97,4.83,1.57
17,18,18.58,18.89,0.29,0,1.97,4.83,1.57
18,18,18.5,18.89,0.29,0,1.97,4.83,1.57
19,17.71,18.3,18.83,0.39,0,1.97,4.83,1.57
20,17.57,18.22,18.83,0.42,0,1.97,4.83,1.57
21,17.4,18.07,18.83,0.44,0,1.97,4.83,1.57
22,17.25,17.95,18.83,0.44,0,1.97,4.83,1.57
23,17,17.88,18.83,0.46,0,1.97,4.83,1.57
24,17,17.78,18.83,0.43,0,1.97,4.83,1.57
25,17,17.75,18.83,0.43,0,1.97,4.83,1.57
26,16.89,17.67,18.75,0.43,0,1.97,4.83,1.57
27,16.87,17.64,18.75,0.46,0,1.97,4.83,1.57
28,16.62,17.55,18.75,0.44,0,1.97,4.83,1.57
29,16.57,17.51,18.75,0.45,0,1.97,4.83,1.57
30,16.5,17.44,18.75,0.47,0,1.97,4.83,1.57
31,16.2,17.37,18.62,0.51,0,1.97,4.83,1.57
32,16,17.31,18.62,0.53,0,1.97,4.83,1.57
33,15.89,17.22,18.62,0.59,0,1.97,4.83,1.57
