k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.98,2.51,4.55,1.12
1,20,20,20,0,0.98,2.51,4.55,1.12
2,20,20,20,0,0,2.23,4.55,1.42
3,20,20,20,0,0,2.07,4.54,1.42
4,20,20,20,0,0,1.76,4.39,1.52
5,20,20,20,0,0,1.71,4.39,1.33
6,20,20,20,0,0,1.66,4.39,1.32
7,20,20,20,0,0,1.45,4.39,1.24
8,20,20,20,0,0,1.37,4.39,1.28
9,18.89,19.37,20,0.45,0,1.49,4.39,1.43
10,18.87,18.96,19.5,0.14,0,1.73,5,1.57
11,18.86,18.89,19,0.03,0,1.73,5,1.57
12,18.71,18.87,18.89,0.04,0,1.73,5,1.57
13,18.67,18.85,18.89,0.06,0,1.73,5,1.57
14,18.6,18.82,18.89,0.08,0,1.73,5,1.57
15,18.5,18.77,18.89,0.13,0,1.73,5,1.57
16,18.33,18.73,18.89,0.17,0,1.73,5,1.57
17,18,18.67,18.86,0.26,0,1.73,5,1.57
18,18,18.62,18.86,0.29,0,1.73,5,1.57
19,18,18.6,18.86,0.29,0,1.73,5,1.57
20,17.75,18.52,18.86,0.33,0,1.73,5,1.57
21,17.75,18.43,18.86,0.38,0,1.73,5,1.57
22,17.67,18.3,18.86,0.39,0,1.73,5,1.57
23,17.67,18.18,18.8,0.45,0,1.73,5,1.57
24,17.6,18,18.8,0.43,0,1.73,5,1.57
25,17.5,17.88,18.71,0.39,0,1.75,5,1.57
26,17.5,17.81,18.71,0.37,0,1.75,5,1.57
27,17.25,17.76,18.71,0.39,0,1.75,5,1.57
28,17,17.7,18.6,0.37,0,1.75,5,1.57
29,17,17.6,18.6,0.38,0,1.75,5,1.57
30,17,17.56,18.6,0.38,0,1.75,5,1.57
31,16.62,17.48,18.5,0.39,0,1.75,5,1.57
32,16.57,17.38,18.5,0.43,0,1.75,5,1.57
33,16.4,17.25,17.75,0.42,0,1.75,5,1.57
34,16.4,17.12,17.75,0.47,0,1.75,5,1.57
35,16.25,17.07,17.75,0.5,0,1.75,5,1.57
