k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.98,2.51,4.55,1.12
1,20,20,20,0,0.98,2.51,4.55,1.12
2,20,20,20,0,0.78,2.52,4.55,1.2
3,20,20,20,0,0,2.3,4.88,1.36
4,20,20,20,0,0,1.95,4.55,1.32
5,20,20,20,0,0,1.92,6.95,1.76
6,20,20,20,0,0,1.77,6.95,1.93
7,20,20,20,0,0,1.88,6.95,2.05
8,20,20,20,0,0,1.75,6.95,1.95
9,18.89,19.26,20,0.44,0,1.8,6.95,1.88
10,18.87,19.03,19.5,0.25,0,1.62,6.95,1.83
11,18.86,18.9,19,0.05,0,1.62,6.95,1.83
12,18.71,18.86,18.89,0.05,0,1.62,6.95,1.83
13,18.6,18.83,18.89,0.08,0,1.62,6.95,1.83
14,18.5,18.79,18.89,0.12,0,1.62,6.95,1.83
15,18.33,18.75,18.89,0.15,0,1.62,6.95,1.83
16,18,18.7,18.89,0.22,0,1.62,6.95,1.83
17,18,18.65,18.87,0.27,0,1.62,6.95,1.83
18,18,18.61,18.86,0.29,0,1.62,6.95,1.83
19,17.75,18.49,18.83,0.36,0,1.62,6.95,1.83
20,17.71,18.41,18.83,0.41,0,1.65,6.95,1.81
21,17.5,18.26,18.83,0.5,0,1.65,6.95,1.81
22,17.4,18.21,18.8,0.51,0,1.65,6.95,1.81
23,17.25,18.11,18.8,0.56,0,1.65,6.95,1.81
24,17,18.04,18.8,0.58,0,1.65,6.95,1.81
25,17,18,18.8,0.56,0,1.65,6.95,1.81
26,16.89,17.83,18.8,0.49,0,1.65,6.95,1.81
27,16.78,17.79,18.8,0.48,0,1.65,6.95,1.81
28,16.62,17.71,18.8,0.52,0,1.65,6.95,1.81
29,16.57,17.58,18.8,0.58,0,1.65,6.95,1.81
30,16.5,17.54,18.8,0.59,0,1.65,6.95,1.81
31,16.4,17.44,18.8,0.59,0,1.65,6.95,1.81
32,16.25,17.34,18.8,0.61,0,1.65,6.95,1.81
33,16.25,17.28,18.8,0.65,0,1.65,6.95,1.81
