k,MMR min,MMR avg,MMR max,MMR σ (est.),Loss min,Loss avg,Loss max,Loss σ (est.)
0,20,20,20,0,0.98,2.51,4.55,1.12
1,20,20,20,0,0.98,2.51,4.55,1.12
2,20,20,20,0,0,2.37,4.55,1.26
3,20,20,20,0,0,2.14,4.83,1.56
4,20,20,20,0,0,2.13,5.03,1.68
5,20,20,20,0,0,2.09,5.03,1.58
6,20,20,20,0,0,1.91,4.54,1.51
7,20,20,20,0,0,1.96,5,1.64
8,20,20,20,0,0,1.82,5,1.72
9,18.89,19.33,20,0.45,0,1.95,5,1.73
10,18.87,18.95,19.5,0.14,0,2.11,5,1.73
11,18.86,18.89,19,0.03,0,2.11,5,1.73
12,18.71,18.86,18.89,0.05,0,2.11,5,1.73
13,18.67,18.84,18.89,0.06,0,2.11,5,1.73
14,18.6,18.82,18.89,0.08,0,2.11,5,1.73
15,18.6,18.79,18.89,0.08,0,2.11,5,1.73
16,18.6,18.77,18.87,0.09,0,2.11,5,1.73
17,18.4,18.72,18.87,0.13,0,2.11,5,1.73
18,18.25,18.68,18.87,0.18,0,2.11,5,1.73
19,18,18.6,18.87,0.28,0,2.11,5,1.73
20,17.71,18.53,18.83,0.3,0,2.11,5,1.73
21,17.67,18.42,18.83,0.38,0,2.11,5,1.73
22,17.6,18.38,18.83,0.41,0,2.16,5,1.68
23,17.5,18.25,18.83,0.46,0,2.11,5,1.73
24,17.5,18.16,18.83,0.48,0,2.11,5,1.73
25,17.33,18.08,18.8,0.47,0,2.11,5,1.73
26,17.33,17.97,18.8,0.47,0,2.11,5,1.73
27,17,17.81,18.8,0.45,0,2.11,5,1.73
28,17,17.76,18.8,0.47,0,2.11,5,1.73
29,16.4,17.63,18.6,0.51,0,2.11,5,1.73
30,16.4,17.53,18.5,0.5,0,2.11,5,1.73
31,16.4,17.47,18.5,0.48,0,2.11,5,1.73
32,16.33,17.43,18.5,0.5,0,2.11,5,1.73
33,16.33,17.36,18.25,0.46,0,2.11,5,1.73
34,16.25,17.3,18.25,0.49,0,2.11,5,1.73
35,16.25,17.19,18.25,0.54,0,2.11,5,1.73
